review_id,user_id,product_id,category,brand,city,rating,review_text,review_date,helpful_votes,purchase_count_90d,avg_spend_90d,return_rate,sentiment_label,topics_tags,label_bin,kmeans_cluster,dbscan_cluster
R00001,U1147,P2003,Hotel,Sueño Real,New York,4,"Probé Sueño Real en categoría Hotel. Experiencia maravilloso. sabor bien, batería regular. Vale cada peso.",2024-04-09,1,0,374.39,0.12,positivo,"batería,wifi,precio",1,1,0
R00002,U1128,P2024,Restaurante,El Asadero,Quito,3,"Para ser Restaurante, El Asadero resultó correcto. Destaco calidad, aunque garantía no fue ideal. Podría mejorar.",2023-06-15,3,1,54.68,0.21,neutral,"ubicación,garantía,atención",0,0,-1
R00003,U1151,P2074,Supermercado,Abarrotes 24,Panamá,4,El supermercado de Abarrotes 24 es amable. La envío fue adecuada y la batería podría mejorar. Superó mis expectativas.,2023-09-18,1,1,63.31,0.13,positivo,"talla,garantía,envío",1,2,-1
R00004,U1310,P2009,Restaurante,El Asadero,Quito,3,Compré en El Asadero (Restaurante). Me pareció promedio; devolución y sabor fueron determinantes. Ni bien ni mal.,2023-03-25,1,0,39.21,0.24,neutral,"talla,ubicación,garantía",0,1,1
R00005,U1128,P2056,Supermercado,MercadoPlus,Santo Domingo,4,"Probé MercadoPlus en categoría Supermercado. Experiencia rápido. batería bien, talla regular. Lo volvería a comprar.",2023-09-04,0,2,26.04,0.02,positivo,"batería,talla,devolución",1,1,0
R00006,U1296,P2075,Supermercado,MercadoPlus,Puerto Plata,4,Compré en MercadoPlus (Supermercado). Me pareció maravilloso; sabor y devolución fueron determinantes. Superó mis expectativas.,2024-05-31,1,2,66.62,0.09,positivo,"sabor,talla,precio",1,1,6
R00007,U1276,P2138,Ropa,Eleganza,New York,4,"Para ser Ropa, Eleganza resultó delicioso. Destaco garantía, aunque wifi no fue ideal. Muy recomendado.",2024-07-29,3,0,44.25,0.09,positivo,"sabor,wifi,talla",1,0,15
R00008,U1173,P2082,Restaurante,El Asadero,San Juan,4,"Probé El Asadero en categoría Restaurante. Experiencia maravilloso. devolución bien, atención regular. Muy recomendado.",2023-12-09,2,3,78.16,0.08,positivo,"devolución,calidad,ubicación",1,1,0
R00009,U1285,P2140,Ropa,EcoThread,Quito,2,"Para ser Ropa, EcoThread resultó malo. Destaco wifi, aunque calidad no fue ideal. No cumple lo prometido.",2023-06-22,4,2,56.31,0.02,negativo,"sabor,calidad,higiene",0,0,2
R00010,U1195,P2082,Restaurante,El Asadero,Panamá,4,"Para ser Restaurante, El Asadero resultó cómodo. Destaco envío, aunque batería no fue ideal. Vale cada peso.",2024-05-13,1,1,11.58,0.19,positivo,"batería,sabor,calidad",1,0,-1
R00011,U1312,P2011,Electrónica,TecnoMax,Puerto Plata,3,El electrónica de TecnoMax es esperado. La talla fue adecuada y la garantía podría mejorar. Podría mejorar.,2024-02-03,1,1,17.49,0.01,neutral,"atención,batería,calidad",0,2,27
R00012,U1023,P2086,Restaurante,Sabores Doña Ana,Bogotá,5,"Probé Sabores Doña Ana en categoría Restaurante. Experiencia maravilloso. atención bien, comodidad regular. Lo volvería a comprar.",2024-01-23,1,0,18.88,0.05,positivo,"envío,garantía,ubicación",1,1,0
R00013,U1343,P2086,Restaurante,Sabores Doña Ana,Miami,3,"Probé Sabores Doña Ana en categoría Restaurante. Experiencia correcto. talla bien, devolución regular. Ni bien ni mal.",2023-12-07,1,1,39.09,0.12,neutral,"talla,devolución,wifi",0,1,-1
R00014,U1050,P2038,Restaurante,Sabores Doña Ana,Madrid,4,"Probé Sabores Doña Ana en categoría Restaurante. Experiencia delicioso. talla bien, sabor regular. Lo volvería a comprar.",2023-10-05,7,0,29.55,0.13,positivo,"ubicación,comodidad,higiene",1,1,0
R00015,U1185,P2080,Ropa,UrbanWear,San Juan,4,El ropa de UrbanWear es potente. La envío fue adecuada y la ubicación podría mejorar. Superó mis expectativas.,2023-05-14,2,3,94.63,0.05,positivo,"calidad,batería,sabor",1,2,29
R00016,U1232,P2006,Electrónica,Photonix,Puerto Plata,3,Compré en Photonix (Electrónica). Me pareció esperado; envío y calidad fueron determinantes. Ni bien ni mal.,2024-03-09,1,2,50.79,0.24,neutral,"calidad,batería,atención",0,1,1
R00017,U1289,P2078,Supermercado,Frescura,Atlanta,3,Compré en Frescura (Supermercado). Me pareció promedio; atención y garantía fueron determinantes. Ni bien ni mal.,2024-07-27,0,1,117.32,0.11,neutral,"atención,calidad,wifi",0,1,1
R00018,U1305,P2078,Supermercado,Frescura,Puerto Plata,3,El supermercado de Frescura es promedio. La garantía fue adecuada y la precio podría mejorar. Ni bien ni mal.,2024-01-18,1,1,54.52,0.15,neutral,"envío,garantía,precio",0,2,3
R00019,U1007,P2017,Ropa,Fit&Go,Lima,5,"Probé Fit&Go en categoría Ropa. Experiencia limpio. precio bien, sabor regular. Lo volvería a comprar.",2023-11-02,0,0,7.68,0.21,positivo,"sabor,atención,comodidad",1,1,0
R00020,U1058,P2029,Ropa,Fit&Go,Quito,3,Compré en Fit&Go (Ropa). Me pareció correcto; wifi y batería fueron determinantes. Nada especial.,2023-04-26,3,0,30.72,0.07,neutral,"talla,calidad,ubicación",0,1,0
R00021,U1022,P2095,Supermercado,EcoMarket,San Juan,2,"Probé EcoMarket en categoría Supermercado. Experiencia caro. batería bien, envío regular. Nunca más.",2023-01-30,4,2,58.61,0.16,negativo,"talla,batería,wifi",0,1,0
R00022,U1205,P2146,Restaurante,El Asadero,Santiago de los Caballeros,4,Compré en El Asadero (Restaurante). Me pareció económico; calidad y precio fueron determinantes. Vale cada peso.,2024-02-02,3,0,65.62,0.11,positivo,"higiene,batería,calidad",1,1,0
R00023,U1064,P2058,Supermercado,MercadoPlus,Buenos Aires,3,"Para ser Supermercado, MercadoPlus resultó normal. Destaco talla, aunque sabor no fue ideal. Ni bien ni mal.",2023-02-03,2,2,18.78,0.08,neutral,"garantía,comodidad,batería",0,0,4
R00024,U1258,P2052,Supermercado,EcoMarket,Ciudad de México,2,Compré en EcoMarket (Supermercado). Me pareció terrible; talla y atención fueron determinantes. No valió la pena.,2024-04-03,2,3,33.11,0.13,negativo,"comodidad,higiene,calidad",0,1,0
R00025,U1173,P2092,Restaurante,SushiGo,Puerto Plata,4,"Para ser Restaurante, SushiGo resultó maravilloso. Destaco higiene, aunque sabor no fue ideal. Superó mis expectativas.",2023-04-06,1,1,99.31,0.09,positivo,"ubicación,higiene,talla",1,0,-1
R00026,U1351,P2101,Supermercado,EcoMarket,Atlanta,4,"Para ser Supermercado, EcoMarket resultó maravilloso. Destaco higiene, aunque calidad no fue ideal. Lo volvería a comprar.",2023-01-26,2,0,4.57,0.02,positivo,"ubicación,calidad,talla",1,0,-1
