product_id,category,brand,launch_date,price_usd
P2000,Electrónica,VoltPro,2024-04-22,32.89
P2001,Hotel,CityLights,2022-10-12,64.57
P2002,Ropa,ClassicLine,2023-04-02,35.39
P2003,Hotel,Sueño Real,2023-02-14,76.6
P2004,Electrónica,Auralink,2023-04-10,56.56
P2005,Ropa,UrbanWear,2022-05-06,23.2
P2006,Electrónica,Photonix,2022-01-27,38.22
P2007,Ropa,UrbanWear,2022-07-01,16.18
P2008,Supermercado,MaxiMarket,2023-08-30,19.12
P2009,Restaurante,El Asadero,2024-02-21,52.75
P2010,Supermercado,Abarrotes 24,2022-06-09,34.74
P2011,Electrónica,TecnoMax,2024-04-30,29.91
P2012,Electrónica,VoltPro,2023-09-07,64.16
P2013,Ropa,EcoThread,2024-02-22,23.97
P2014,Supermercado,EcoMarket,2023-05-29,38.18
P2015,Restaurante,Cafeto,2022-07-14,39.44
P2016,Ropa,ClassicLine,2023-08-16,47.15
P2017,Ropa,Fit&Go,2022-04-06,15.51
P2018,Supermercado,MercadoPlus,2023-08-16,23.91
P2019,Hotel,EcoStay,2024-02-23,76.06
P2020,Supermercado,MaxiMarket,2023-12-06,46.78
P2021,Supermercado,MaxiMarket,2024-03-01,29.41
P2022,Restaurante,El Asadero,2022-12-30,39.48
P2023,Hotel,Hotel Mar Azul,2023-12-29,40.81
P2024,Restaurante,El Asadero,2023-11-18,21.78
P2025,Restaurante,Cafeto,2024-01-07,42.53
P2026,Electrónica,TecnoMax,2022-04-19,22.89
P2027,Electrónica,Photonix,2022-10-20,24.69
P2028,Ropa,EcoThread,2022-11-26,46.42
P2029,Ropa,Fit&Go,2022-12-16,17.48
P2030,Electrónica,TecnoMax,2023-02-08,19.0
P2031,Hotel,Andes Inn,2022-07-24,39.28
P2032,Ropa,UrbanWear,2022-03-07,47.31
P2033,Restaurante,La Trattoria,2023-07-12,36.74
P2034,Supermercado,Frescura,2023-02-22,36.33
P2035,Ropa,UrbanWear,2023-04-13,21.54
P2036,Supermercado,Frescura,2023-03-08,14.07
P2037,Restaurante,La Trattoria,2023-06-07,12.7
P2038,Restaurante,Sabores Doña Ana,2023-04-26,42.68
P2039,Electrónica,TecnoMax,2024-01-02,30.74
P2040,Hotel,EcoStay,2023-10-09,90.34
P2041,Supermercado,Abarrotes 24,2022-08-08,27.45
P2042,Ropa,UrbanWear,2024-04-14,18.15
P2043,Ropa,Fit&Go,2023-03-14,21.93
P2044,Ropa,Fit&Go,2022-08-20,16.52
P2045,Supermercado,EcoMarket,2023-12-24,15.78
P2046,Ropa,ClassicLine,2023-05-01,35.42
P2047,Electrónica,VoltPro,2023-10-07,13.09
P2048,Electrónica,Photonix,2022-09-03,16.56
P2049,Hotel,EcoStay,2022-06-13,60.96
P2050,Hotel,Hotel Mar Azul,2023-09-06,69.56
P2051,Electrónica,TecnoMax,2023-10-01,14.39
P2052,Supermercado,EcoMarket,2022-04-07,12.97
